phase,q_mean,q_std,c_mean,c_std
0.0,0.9999999999999993,0.0,0.9999999999999993,0.0
0.1282282715750936,0.9634583786730102,2.220446049250313e-16,0.9958950069116224,0.0
0.2564565431501872,0.8591746750488634,0.0,0.9836474315195142,0.0
0.38468481472528077,0.7023916715611964,0.0,0.9634583786730102,2.220446049250313e-16
0.5129130863003744,0.5160257887858272,1.1102230246251565e-16,0.9356593520616941,0.0
0.6411413578754679,0.32731747278934614,5.551115123125783e-17,0.9007068109339775,1.1102230246251565e-16
0.7693696294505615,0.16384955486934155,2.7755575615628914e-17,0.8591746750488634,0.0
0.8975979010256552,0.049515566048790434,0.0,0.8117449009293665,1.1102230246251565e-16
1.0258261726007487,0.001027303624831838,2.168404344971009e-19,0.7591962841552622,0.0
1.1540544441758422,0.025472126494665577,3.469446951953614e-18,0.7023916715611964,0.0
1.2822827157509358,0.1192770208154325,0.0,0.6422637933155159,1.1102230246251565e-16
1.4105109873260295,0.2687308548795821,5.551115123125783e-17,0.5797999475166894,1.1102230246251565e-16
1.538739258901123,0.45198848704615824,1.1102230246251565e-16,0.5160257887858272,1.1102230246251565e-16
1.6669675304762166,0.6422637933155155,1.1102230246251565e-16,0.4519884870461589,5.551115123125783e-17
1.7951958020513104,0.811744900929366,0.0,0.38873953302184244,0.0
1.9234240736264039,0.9356593520616941,0.0,0.32731747278934586,5.551115123125783e-17
2.0516523452014974,0.9958950069116224,0.0,0.2687308548795821,5.551115123125783e-17
2.179880616776591,0.9836474315195142,0.0,0.21394166993891517,0.0
2.3081088883516845,0.900706810933978,1.1102230246251565e-16,0.16384955486934155,2.7755575615628914e-17
2.436337159926778,0.7591962841552622,0.0,0.11927702081543282,2.7755575615628914e-17
2.5645654315018716,0.5797999475166901,1.1102230246251565e-16,0.08095594755407974,0.0
2.6927937030769655,0.38873953302184266,5.551115123125783e-17,0.049515566048790434,0.0
2.821021974652059,0.213941669938915,0.0,0.025472126494665674,3.469446951953614e-18
2.9492502462271526,0.08095594755407955,0.0,0.009220421504467337,1.734723475976807e-18
3.077478517802246,0.009220421504467448,0.0,0.001027303624831838,2.168404344971009e-19
3.2057067893773397,0.009220421504467202,1.734723475976807e-18,0.0010273036248318165,0.0
3.333935060952433,0.08095594755407934,1.3877787807814457e-17,0.009220421504467276,1.734723475976807e-18
3.4621633325275267,0.213941669938914,2.7755575615628914e-17,0.025472126494665577,3.469446951953614e-18
3.5903916041026207,0.38873953302184233,0.0,0.04951556604879038,6.938893903907228e-18
3.7186198756777142,0.579799947516689,1.1102230246251565e-16,0.08095594755407955,0.0
3.8468481472528078,0.759196284155262,1.1102230246251565e-16,0.1192770208154326,1.3877787807814457e-17
3.9750764188279013,0.9007068109339771,1.1102230246251565e-16,0.16384955486934133,2.7755575615628914e-17
4.103304690402995,0.9836474315195141,1.1102230246251565e-16,0.21394166993891478,2.7755575615628914e-17
4.231532961978089,0.9958950069116224,0.0,0.2687308548795821,5.551115123125783e-17
4.359761233553182,0.9356593520616945,0.0,0.3273174727893457,0.0
4.487989505128276,0.8117449009293665,1.1102230246251565e-16,0.38873953302184244,0.0
4.616217776703369,0.6422637933155165,1.1102230246251565e-16,0.45198848704615824,1.1102230246251565e-16
4.744446048278463,0.4519884870461589,1.1102230246251565e-16,0.5160257887858269,0.0
4.872674319853556,0.2687308548795828,0.0,0.5797999475166887,0.0
5.00090259142865,0.11927702081543315,0.0,0.6422637933155155,1.1102230246251565e-16
5.129130863003743,0.025472126494666104,0.0,0.7023916715611958,1.1102230246251565e-16
5.257359134578837,0.0010273036248317437,2.168404344971009e-19,0.7591962841552614,0.0
5.385587406153931,0.04951556604879027,6.938893903907228e-18,0.811744900929366,0.0
5.513815677729024,0.1638495548693407,2.7755575615628914e-17,0.8591746750488627,2.220446049250313e-16
5.642043949304118,0.32731747278934586,5.551115123125783e-17,0.9007068109339775,1.1102230246251565e-16
5.770272220879211,0.5160257887858265,1.1102230246251565e-16,0.935659352061694,1.1102230246251565e-16
5.898500492454305,0.7023916715611964,0.0,0.9634583786730102,2.220446049250313e-16
6.026728764029398,0.8591746750488614,1.1102230246251565e-16,0.9836474315195141,1.1102230246251565e-16
6.154957035604492,0.9634583786730098,2.220446049250313e-16,0.9958950069116224,0.0
6.283185307179586,0.9999999999999993,0.0,0.9999999999999993,0.0
